,Año,Trimestre,Alquiler mensual en soles corrientes,Distrito,Superficie,Número de habitaciones,Número de baños,Número de garages,Años de antigüedad
0,2010,2,850.3841165319761,Jesús María,75.0,2.0,1.0,0.0,2.0
1,2010,2,2401.08456432558,Jesús María,82.0,2.0,1.0,1.0,4.0
2,2010,2,810.3660404598833,Jesús María,85.0,2.0,1.0,1.0,4.0
3,2010,2,1704.6799999999998,Miraflores,120.0,2.0,2.0,0.0,20.0
4,2010,2,3409.3599999999997,Miraflores,130.0,2.0,3.0,2.0,8.0
5,2010,2,2557.02,Miraflores,90.0,2.0,2.0,2.0,2.0
6,2010,2,2272.9066666666663,Miraflores,115.0,2.0,1.0,1.0,15.0
7,2010,2,284.1133333333333,Miraflores,55.0,1.0,1.0,1.0,10.0
8,2010,2,1278.51,Miraflores,50.0,1.0,1.0,0.0,9.0
9,2010,2,625.0493333333333,Miraflores,50.0,1.0,1.0,0.0,12.0
10,2010,2,909.1626666666666,Miraflores,35.0,1.0,1.0,1.0,16.0
11,2010,2,1647.8573333333331,Miraflores,45.0,1.0,1.0,1.0,7.0
12,2010,2,1704.6799999999998,Miraflores,49.0,1.0,1.0,1.0,6.0
13,2010,2,4829.926666666666,Miraflores,170.0,3.0,2.5,2.0,10.0
14,2010,2,1988.793333333333,Miraflores,100.0,3.0,2.5,1.0,12.0
15,2010,2,1562.6233333333332,Miraflores,45.0,1.0,1.0,0.0,11.0
16,2010,2,1789.9139999999998,Miraflores,48.0,1.0,1.0,1.0,18.0
17,2010,2,1704.6799999999998,Miraflores,70.0,1.0,1.0,1.0,0.0
18,2010,2,2272.9066666666663,Miraflores,81.26,3.0,1.5,1.0,5.0
19,2010,2,2272.9066666666663,Miraflores,53.0,1.0,1.0,0.0,2.0
20,2010,2,4261.7,Miraflores,130.0,2.0,2.0,1.0,3.0
21,2010,2,5114.04,Miraflores,240.0,3.0,2.5,1.0,10.0
22,2010,2,5398.153333333333,Miraflores,155.0,3.0,2.5,2.0,1.0
23,2010,2,750.3389263517436,Pueblo Libre,80.0,2.0,1.0,0.0,5.0
24,2010,2,1600.7230428837197,Pueblo Libre,85.0,3.0,2.0,1.0,2.0
25,2010,2,1200.54228216279,Pueblo Libre,100.0,3.0,1.0,1.0,7.0
26,2010,2,900.4067116220925,Pueblo Libre,50.0,1.0,1.0,1.0,9.0
27,2010,2,3409.3599999999997,San Isidro,110.0,2.0,2.0,1.0,20.0
28,2010,2,1704.6799999999998,San Isidro,161.0,3.0,2.0,2.0,2.0
29,2010,2,2045.6159999999998,San Isidro,60.0,1.0,1.0,1.0,6.0
30,2010,2,2130.85,San Isidro,100.0,1.0,1.0,1.0,18.0
31,2010,2,2130.85,San Isidro,120.0,2.0,2.0,1.0,10.0
32,2010,2,1420.5666666666666,San Isidro,151.0,2.0,1.0,0.0,20.0
33,2010,2,4829.926666666666,San Isidro,120.0,3.0,1.0,1.0,20.0
34,2010,2,1400.632662523255,Barranco,66.0,1.0,1.0,1.0,1.0
35,2010,2,1650.7456379738362,Barranco,90.0,2.0,1.0,0.0,13.0
36,2010,2,4802.16912865116,Barranco,230.0,3.0,2.5,1.0,9.0
37,2010,2,2040.9218796767427,Jesús María,82.0,1.0,1.0,1.0,4.0
38,2010,2,2401.08456432558,Jesús María,100.0,2.0,1.0,1.0,4.0
39,2010,2,1420.5666666666666,La Molina,145.0,2.0,1.5,1.0,12.0
40,2010,2,1221.6873333333333,La Molina,120.0,3.0,2.0,0.0,17.0
41,2010,2,1591.0346666666665,La Molina,140.0,3.0,2.5,1.0,14.0
42,2010,2,1051.2193333333332,La Molina,86.0,2.0,1.5,0.0,0.0
43,2010,2,1392.1553333333331,La Molina,117.0,3.0,3.0,1.0,10.0
44,2010,2,500.2259509011625,Lince,100.0,2.0,1.0,1.0,1.0
45,2010,2,800.3615214418598,Lince,80.0,2.0,1.0,0.0,0.0
46,2010,2,2401.08456432558,Magdalena,130.0,3.0,2.5,1.0,14.0
47,2010,2,1950.8812085145335,Magdalena,100.0,3.0,2.5,1.0,20.0
48,2010,2,1380.6236244872084,Magdalena,110.0,3.0,2.0,0.0,18.0
49,2010,2,2100.9489937848825,Magdalena,100.0,3.0,2.0,1.0,13.0
50,2010,2,850.3841165319761,Magdalena,60.0,1.0,1.0,0.0,10.0
51,2010,2,1500.6778527034871,Magdalena,85.0,2.0,1.0,1.0,1.0
52,2010,2,2130.85,Miraflores,108.0,3.0,2.0,1.0,7.0
53,2010,2,3125.2466666666664,Miraflores,170.0,3.0,2.5,3.0,1.0
54,2010,2,1931.9706666666664,Miraflores,150.0,3.0,2.0,1.0,30.0
55,2010,2,3693.473333333333,Miraflores,120.0,3.0,2.0,1.0,6.0
56,2010,2,3409.3599999999997,Miraflores,90.0,3.0,2.5,1.0,0.0
57,2010,2,5398.153333333333,Miraflores,155.0,3.0,2.5,2.0,1.0
58,2010,2,3409.3599999999997,Miraflores,90.0,3.0,2.5,2.0,3.0
59,2010,2,2414.963333333333,Miraflores,145.0,2.0,2.5,2.0,25.0
60,2010,2,1988.793333333333,Miraflores,140.0,3.0,2.5,2.0,5.0
61,2010,2,3409.3599999999997,Miraflores,135.0,3.0,2.5,1.0,20.0
62,2010,2,2414.963333333333,Miraflores,123.0,3.0,2.5,1.0,3.0
63,2010,2,2841.133333333333,Miraflores,120.0,3.0,2.5,1.0,3.0
64,2010,2,1846.7366666666665,Miraflores,120.0,3.0,2.5,1.0,5.0
65,2010,2,3409.3599999999997,Miraflores,140.0,2.0,2.5,2.0,8.0
66,2010,2,2699.0766666666664,Miraflores,125.0,3.0,2.5,2.0,1.0
67,2010,2,1300.5874723430225,Pueblo Libre,110.0,3.0,2.5,1.0,11.0
68,2010,2,1200.54228216279,Pueblo Libre,100.0,3.0,2.0,1.0,9.0
69,2010,2,1500.6778527034871,Pueblo Libre,120.0,3.0,2.5,1.0,5.0
70,2010,2,900.4067116220925,Pueblo Libre,70.0,1.0,1.0,0.0,13.0
71,2010,2,284.1133333333333,San Borja,60.0,1.0,1.0,0.0,5.0
72,2010,2,909.1626666666666,San Borja,90.0,2.0,1.0,1.0,5.0
73,2010,2,568.2266666666666,San Borja,70.0,1.0,1.0,0.0,3.0
74,2010,2,2557.02,San Isidro,150.0,3.0,1.5,1.0,7.0
75,2010,2,5114.04,San Isidro,220.0,3.0,2.0,2.5,8.0
76,2010,2,4545.813333333333,San Isidro,180.0,3.0,2.5,1.0,6.0
77,2010,2,3551.4166666666665,San Isidro,140.0,3.0,2.0,1.0,15.0
78,2010,2,2841.133333333333,San Isidro,150.0,3.0,2.0,1.0,12.0
79,2010,2,1633.6516666666664,San Isidro,50.0,1.0,1.0,1.0,0.0
80,2010,2,4829.926666666666,San Isidro,180.0,3.0,2.5,1.0,0.0
81,2010,2,2557.02,San Isidro,120.0,2.0,1.0,1.0,8.0
82,2010,2,5398.153333333333,San Isidro,230.0,3.0,3.5,2.0,0.0
83,2010,2,3835.5299999999997,San Isidro,160.0,2.0,2.0,3.0,1.0
84,2010,2,2841.133333333333,San Isidro,160.0,3.0,2.5,2.0,17.0
85,2010,2,850.3841165319761,San Miguel,100.0,2.0,1.0,0.0,7.0
86,2010,2,700.3163312616275,San Miguel,85.0,2.0,1.0,0.0,6.0
87,2010,2,480.216912865116,San Miguel,90.0,2.0,1.5,1.0,3.0
88,2010,2,550.2485459912788,San Miguel,50.0,1.0,1.0,0.0,10.0
89,2010,2,750.3389263517436,San Miguel,100.0,2.0,1.0,1.0,6.0
90,2010,2,950.4293067122087,San Miguel,100.0,2.0,1.5,0.0,15.0
91,2010,2,400.1807607209299,San Miguel,60.0,1.0,1.0,0.0,13.0
92,2010,2,810.3660404598833,San Miguel,90.0,2.0,1.0,0.0,8.0
93,2010,2,750.3389263517436,San Miguel,80.0,2.0,1.0,0.0,18.0
94,2010,2,950.4293067122087,San Miguel,100.0,2.0,2.0,0.0,6.0
95,2010,2,800.3615214418598,San Miguel,115.0,2.0,2.0,1.0,14.0
96,2010,2,1200.54228216279,San Miguel,120.0,3.0,2.5,1.0,20.0
97,2010,2,1000.451901802325,San Miguel,100.0,3.0,2.0,1.0,13.0
98,2010,2,994.3966666666665,Surco,100.0,1.0,1.0,1.0,5.0
99,2010,2,710.2833333333333,Surco,60.0,1.0,1.0,1.0,2.0
100,2010,2,681.872,Surco,60.0,1.0,1.0,1.0,4.0
101,2010,2,2414.963333333333,Surco,100.0,3.0,2.0,2.0,4.0
102,2010,2,1988.793333333333,Surco,155.0,5.0,2.5,2.0,5.0
103,2010,2,2272.9066666666663,Surco,164.0,3.0,2.0,1.0,1.0
104,2010,2,2251.016779055231,Barranco,90.0,1.0,1.0,1.0,6.0
105,2010,2,1500.6778527034871,Barranco,62.0,1.0,1.0,1.0,10.0
106,2010,2,600.271141081395,Barranco,90.0,1.0,1.0,1.0,7.0
107,2010,2,2040.9218796767427,Jesús María,82.0,1.0,1.0,1.0,4.0
